Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,5.987648,6.403532,5.585925,5.895828,5.895828,185889740
2021-02-27,5.900442,6.367059,5.771591,5.919003,5.919003,133102816
2021-02-28,5.921469,6.016914,4.996101,5.349641,5.349641,164424751
2021-03-01,5.361633,6.768265,5.353889,6.751053,6.751053,284275053
2021-03-02,6.750741,6.780756,6.232610,6.457235,6.457235,186109178
2021-03-03,6.472056,8.203225,6.439836,7.224770,7.224770,459813956
2021-03-04,7.213907,8.134108,7.113170,7.498445,7.498445,418936174
2021-03-05,7.474930,8.764044,6.996793,8.488712,8.488712,539816082
2021-03-06,8.478125,8.935028,8.105056,8.237392,8.237392,335788160
2021-03-07,8.248053,8.302707,7.789121,8.271160,8.271160,187859367
2021-03-08,8.254155,9.772783,8.104066,9.639250,9.639250,423561756
2021-03-09,9.669756,12.062220,9.607979,11.712572,11.712572,842804932
2021-03-10,11.666214,11.745773,10.899007,11.147438,11.147438,392489796
2021-03-11,11.123948,11.371081,10.425655,10.815984,10.815984,353032857
2021-03-12,10.817126,14.344089,10.597125,14.162926,14.162926,778270134
2021-03-13,14.158122,14.815661,12.716983,14.586310,14.586310,458413473
2021-03-14,14.594353,16.680822,13.886953,15.874853,15.874853,787898017
2021-03-15,15.842349,16.675879,14.630610,16.339869,16.339869,648714358
2021-03-16,16.333685,20.737556,16.132998,19.880777,19.880777,1453287134
2021-03-17,19.905979,19.905979,17.229843,18.587238,18.587238,1043820400
2021-03-18,18.527479,19.254280,17.726421,19.005020,19.005020,560830319
2021-03-19,18.976917,21.883413,18.608950,20.011986,20.011986,834679597
2021-03-20,19.948143,21.399523,19.734903,20.892002,20.892002,399899063
2021-03-21,20.895308,22.329994,20.839693,21.982670,21.982670,590731035
2021-03-22,21.972399,22.041758,19.242750,19.434917,19.434917,513268520
2021-03-23,19.420399,19.804129,16.777584,17.052082,17.052082,534066504
2021-03-24,17.026884,18.780670,15.949359,16.686749,16.686749,839262903
2021-03-25,16.637634,17.215229,16.056889,16.452650,16.452650,466380561
2021-03-26,16.458988,18.997766,16.448381,18.528397,18.528397,470743750
2021-03-27,18.464809,19.244322,18.071066,18.748030,18.748030,269291397
2021-03-28,18.717606,19.274248,18.093134,18.587406,18.587406,218275563
2021-03-29,18.573715,19.497236,18.245794,18.899931,18.899931,265177895
2021-03-30,18.895567,19.212120,18.236910,18.669039,18.669039,274912189
2021-03-31,18.672083,19.554237,18.053989,18.700575,18.700575,502783251
2021-04-01,18.701763,19.145439,18.144798,18.516495,18.516495,329541119
2021-04-02,18.501116,19.187466,18.429724,18.566605,18.566605,288164247
2021-04-03,18.566414,18.888840,18.106482,18.141928,18.141928,188820041
2021-04-04,18.143066,18.716543,18.053671,18.347498,18.347498,155778458
2021-04-05,18.346846,18.621204,17.242556,17.560474,17.560474,206881663
